样本编号,模态类型,原始有效时长（秒）,特征维度,序列位置数,有效位置数,对齐粒度（秒）,填充位置数
-6rXp3zJ3kc$_$8,语音,12.805,74,50,50,0.2561,0
-6rXp3zJ3kc$_$8,视觉,12.805,35,50,50,0.2561,0
-9y-fZ3swSY$_$0,文本,6.833,768,50,50,0.1367,0
-9y-fZ3swSY$_$0,语音,6.833,74,50,50,0.1367,0
-9y-fZ3swSY$_$0,视觉,6.833,35,50,35,0.1367,15
-9y-fZ3swSY$_$4,文本,2.821,768,50,50,0.0564,0
-9y-fZ3swSY$_$4,语音,2.821,74,50,48,0.0564,2
-9y-fZ3swSY$_$4,视觉,2.821,35,50,14,0.0564,36
-9y-fZ3swSY$_$8,文本,4.989,768,50,50,0.0998,0
-9y-fZ3swSY$_$8,语音,4.989,74,50,50,0.0998,0
-9y-fZ3swSY$_$8,视觉,4.989,35,50,25,0.0998,25
-AUZQgSxyPQ$_$2,文本,22.511,768,50,50,0.4502,0
-AUZQgSxyPQ$_$2,语音,22.511,74,50,50,0.4502,0
-AUZQgSxyPQ$_$2,视觉,22.511,35,50,50,0.4502,0
-HeZS2-Prhc$_$2,文本,8.262,768,50,50,0.1652,0
-HeZS2-Prhc$_$2,语音,8.262,74,50,50,0.1652,0
-HeZS2-Prhc$_$2,视觉,8.262,35,50,41,0.1652,9
-MeTTeMJBNc$_$0,文本,9.3,768,50,50,0.186,0
-MeTTeMJBNc$_$0,语音,9.3,74,50,50,0.186,0
-MeTTeMJBNc$_$0,视觉,9.3,35,50,47,0.186,3
-MeTTeMJBNc$_$13,文本,5.43,768,50,50,0.1086,0
-MeTTeMJBNc$_$13,语音,5.43,74,50,49,0.1086,1
-MeTTeMJBNc$_$13,视觉,5.43,35,50,27,0.1086,23
-MeTTeMJBNc$_$7,文本,10.517,768,50,50,0.2103,0
-MeTTeMJBNc$_$7,语音,10.517,74,50,50,0.2103,0
-MeTTeMJBNc$_$7,视觉,10.517,35,50,50,0.2103,0
-RfYyzHpjk4$_$11,文本,5.239,768,50,50,0.1048,0
-RfYyzHpjk4$_$11,语音,5.239,74,50,49,0.1048,1
-RfYyzHpjk4$_$11,视觉,5.239,35,50,26,0.1048,24
-RfYyzHpjk4$_$8,文本,4.589,768,50,50,0.0918,0
-RfYyzHpjk4$_$8,语音,4.589,74,50,50,0.0918,0
-RfYyzHpjk4$_$8,视觉,4.589,35,50,23,0.0918,27
-RfYyzHpjk4$_$2,文本,5.516,768,50,50,0.1103,0
-RfYyzHpjk4$_$2,语音,5.516,74,50,49,0.1103,1
-RfYyzHpjk4$_$2,视觉,5.516,35,50,28,0.1103,22
-UUCSKoHeMA$_$0,文本,7.8,768,50,50,0.156,0
-UUCSKoHeMA$_$0,语音,7.8,74,50,50,0.156,0
-UUCSKoHeMA$_$0,视觉,7.8,35,50,39,0.156,11
-ri04Z7vwnc$_$0,文本,2.807,768,50,50,0.0561,0
-ri04Z7vwnc$_$0,语音,2.807,74,50,50,0.0561,0
-ri04Z7vwnc$_$0,视觉,2.807,35,50,14,0.0561,36
-ri04Z7vwnc$_$2,文本,6.027,768,50,50,0.1205,0
-ri04Z7vwnc$_$2,语音,6.027,74,50,50,0.1205,0
-ri04Z7vwnc$_$2,视觉,6.027,35,50,30,0.1205,20
-ri04Z7vwnc$_$5,文本,3.545,768,50,50,0.0709,0
-ri04Z7vwnc$_$5,语音,3.545,74,50,49,0.0709,1
-ri04Z7vwnc$_$5,视觉,3.545,35,50,18,0.0709,32
-s9qJ7ATP7w$_$1,文本,4.792,768,50,50,0.0958,0
-s9qJ7ATP7w$_$1,语音,4.792,74,50,49,0.0958,1
-s9qJ7ATP7w$_$1,视觉,4.792,35,50,24,0.0958,26
-s9qJ7ATP7w$_$0,文本,6.8,768,50,50,0.136,0
-s9qJ7ATP7w$_$0,语音,6.8,74,50,50,0.136,0
-s9qJ7ATP7w$_$0,视觉,6.8,35,50,34,0.136,16
-s9qJ7ATP7w$_$5,文本,8.561,768,50,50,0.1712,0
-s9qJ7ATP7w$_$5,语音,8.561,74,50,50,0.1712,0
-s9qJ7ATP7w$_$5,视觉,8.561,35,50,43,0.1712,7
-s9qJ7ATP7w$_$4,文本,4.427,768,50,50,0.0885,0
-s9qJ7ATP7w$_$4,语音,4.427,74,50,48,0.0885,2
-s9qJ7ATP7w$_$4,视觉,4.427,35,50,22,0.0885,28
-s9qJ7ATP7w$_$7,文本,6.966,768,50,50,0.1393,0
-s9qJ7ATP7w$_$7,语音,6.966,74,50,50,0.1393,0
-s9qJ7ATP7w$_$7,视觉,6.966,35,50,35,0.1393,15
-s9qJ7ATP7w$_$6,文本,2.475,768,50,50,0.0495,0
-s9qJ7ATP7w$_$6,语音,2.475,74,50,47,0.0495,3
-s9qJ7ATP7w$_$6,视觉,2.475,35,50,12,0.0495,38
-s9qJ7ATP7w$_$8,文本,3.295,768,50,50,0.0659,0
-s9qJ7ATP7w$_$8,语音,3.295,74,50,49,0.0659,1
-s9qJ7ATP7w$_$8,视觉,3.295,35,50,16,0.0659,34
-yRb-Jum7EQ$_$1,文本,29.288,768,50,50,0.5858,0
-yRb-Jum7EQ$_$1,语音,29.288,74,50,50,0.5858,0
-yRb-Jum7EQ$_$1,视觉,29.288,35,50,50,0.5858,0
-yRb-Jum7EQ$_$5,文本,13.169,768,50,50,0.2634,0
-yRb-Jum7EQ$_$5,语音,13.169,74,50,50,0.2634,0
-yRb-Jum7EQ$_$5,视觉,13.169,35,50,50,0.2634,0
-yRb-Jum7EQ$_$6,文本,11.242,768,50,50,0.2248,0
-yRb-Jum7EQ$_$6,语音,11.242,74,50,50,0.2248,0
-yRb-Jum7EQ$_$6,视觉,11.242,35,50,50,0.2248,0
