video_id,clip_id,sample_id,media_relpath,label,annotation,text_chars,text_words,exists,probe_ok,duration_sec,video_codec,width,height,fps,audio_codec,sample_rate,channels
-UuX1xuaiiE,3,-UuX1xuaiiE$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,0.3333333432674408,Positive,42,9,True,True,4.130013,h264,1280,720,30.0,aac,44100,2
-UuX1xuaiiE,6,-UuX1xuaiiE$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,-0.3333333432674408,Negative,125,22,True,True,8.113997,h264,1280,720,30.0,aac,44100,2
-a55Q6RWvTA,3,-a55Q6RWvTA$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,0.6666666865348816,Positive,339,65,True,True,22.153971,h264,480,270,30.0,aac,44100,2
-aNfi7CP8vM,7,-aNfi7CP8vM$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,0.0,Neutral,120,18,True,True,8.694987,h264,480,360,30.0,aac,44100,2
-aqamKhZ1Ec,0,-aqamKhZ1Ec$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,-2.0,Negative,87,14,True,True,10.966667,h264,1280,720,30.0,aac,44100,2
-dxfTGcXJoc,1,-dxfTGcXJoc$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,1.6666666269302368,Positive,231,36,True,True,16.161003,h264,320,240,30.0,aac,44100,2
-dxfTGcXJoc,0,-dxfTGcXJoc$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,1.0,Positive,265,41,True,True,20.5,h264,320,240,30.0,aac,44100,2
-dxfTGcXJoc,2,-dxfTGcXJoc$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,0.6666666865348816,Positive,231,34,True,True,16.697982,h264,320,240,30.0,aac,44100,2
-dxfTGcXJoc,6,-dxfTGcXJoc$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,0.6666666865348816,Positive,188,27,True,True,12.735026,h264,320,240,30.0,aac,44100,2
-egA8-b7-3M,26,-egA8-b7-3M$_$26,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,1.6666666269302368,Positive,82,15,True,True,6.03099,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,17,-egA8-b7-3M$_$17,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,0.3333333432674408,Positive,89,16,True,True,7.271029,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,18,-egA8-b7-3M$_$18,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,1.0,Positive,125,22,True,True,8.386003,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,16,-egA8-b7-3M$_$16,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,0.6666666865348816,Positive,77,11,True,True,5.538021,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,13,-egA8-b7-3M$_$13,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,0.3333333432674408,Positive,65,11,True,True,4.183984,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,1,-egA8-b7-3M$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,0.6666666865348816,Positive,123,20,True,True,10.266016,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,6,-egA8-b7-3M$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,0.6666666865348816,Positive,80,12,True,True,6.264974,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,9,-egA8-b7-3M$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,0.3333333432674408,Positive,69,10,True,True,5.089974,h264,640,360,30.0,aac,44100,2
-egA8-b7-3M,20,-egA8-b7-3M$_$20,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,0.3333333432674408,Positive,98,20,True,True,6.644987,h264,640,360,30.0,aac,44100,2
-iRBcNs9oI8,3,-iRBcNs9oI8$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,0.6666666865348816,Positive,36,8,True,True,5.621,h264,1280,720,29.97,aac,44100,2
-iRBcNs9oI8,7,-iRBcNs9oI8$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,0.6666666865348816,Positive,50,9,True,True,4.104,h264,1280,720,29.97,aac,44100,2
-iRBcNs9oI8,6,-iRBcNs9oI8$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,0.3333333432674408,Positive,20,5,True,True,2.903,h264,1280,720,29.97,aac,44100,2
-iRBcNs9oI8,9,-iRBcNs9oI8$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,1.3333333730697632,Positive,28,5,True,True,3.416,h264,1280,720,29.97,aac,44100,2
-iRBcNs9oI8,8,-iRBcNs9oI8$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,1.0,Positive,96,21,True,True,8.093,h264,1280,720,29.97,aac,44100,2
-lzEya4AM_4,5,-lzEya4AM_4$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,-0.6666666865348816,Negative,104,19,True,True,7.675,h264,470,360,30.0,aac,44100,2
-lzEya4AM_4,6,-lzEya4AM_4$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,-0.3333333432674408,Negative,228,43,True,True,14.791992,h264,470,360,30.0,aac,44100,2
-mJ2ud6oKI8,1,-mJ2ud6oKI8$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,0.0,Neutral,60,13,True,True,6.103,h264,1280,720,29.97,aac,44100,2
-mJ2ud6oKI8,2,-mJ2ud6oKI8$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/2.mp4,0.0,Neutral,86,11,True,True,5.731,h264,1280,720,29.97,aac,44100,2
-mJ2ud6oKI8,6,-mJ2ud6oKI8$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/6.mp4,0.3333333432674408,Positive,22,5,True,True,2.257,h264,1280,720,29.97,aac,44100,2
-mJ2ud6oKI8,9,-mJ2ud6oKI8$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/9.mp4,0.0,Neutral,112,22,True,True,7.033,h264,1280,720,29.97,aac,44100,2
-mJ2ud6oKI8,8,-mJ2ud6oKI8$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/8.mp4,-0.3333333432674408,Negative,65,11,True,True,4.192,h264,1280,720,29.97,aac,44100,2
-mqbVkbCndg,0,-mqbVkbCndg$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mqbVkbCndg/0.mp4,0.0,Neutral,71,12,True,True,6.466667,h264,1280,720,30.0,aac,44100,2
-t217m2on-s,2,-t217m2on-s$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/2.mp4,0.6666666865348816,Positive,60,12,True,True,5.686003,h264,480,270,30.0,aac,44100,2
-t217m2on-s,7,-t217m2on-s$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/7.mp4,-0.6666666865348816,Negative,245,45,True,True,17.183008,h264,480,270,30.0,aac,44100,2
-tANM6ETl_M,3,-tANM6ETl_M$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tANM6ETl_M/3.mp4,0.3333333432674408,Positive,115,22,True,True,6.758008,h264,1280,720,30.0,aac,44100,2
-tPCytz4rww,11,-tPCytz4rww$_$11,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/11.mp4,0.0,Neutral,95,17,True,True,5.466992,h264,480,270,30.0,aac,44100,2
-tPCytz4rww,10,-tPCytz4rww$_$10,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/10.mp4,0.0,Neutral,65,12,True,True,4.788997,h264,480,270,30.0,aac,44100,2
-tPCytz4rww,12,-tPCytz4rww$_$12,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/12.mp4,0.0,Neutral,159,26,True,True,11.863997,h264,480,270,30.0,aac,44100,2
-tPCytz4rww,16,-tPCytz4rww$_$16,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/16.mp4,0.0,Neutral,74,16,True,True,7.20599,h264,480,270,30.0,aac,44100,2
-tPCytz4rww,18,-tPCytz4rww$_$18,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/18.mp4,0.0,Neutral,86,16,True,True,6.644987,h264,480,270,30.0,aac,44100,2
-vxjVxOeScU,4,-vxjVxOeScU$_$4,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-vxjVxOeScU/4.mp4,1.0,Positive,123,21,True,True,9.127018,h264,480,360,30.0,aac,44100,2
-wMB_hJL-3o,7,-wMB_hJL-3o$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wMB_hJL-3o/7.mp4,0.3333333432674408,Positive,107,22,True,True,6.04401,h264,480,360,30.0,aac,44100,2
-wny0OAz3g8,1,-wny0OAz3g8$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/1.mp4,0.3333333432674408,Positive,141,23,True,True,6.84401,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,0,-wny0OAz3g8$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/0.mp4,0.3333333432674408,Positive,53,9,True,True,3.333333,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,3,-wny0OAz3g8$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/3.mp4,-1.3333333730697632,Negative,117,20,True,True,6.146029,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,2,-wny0OAz3g8$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/2.mp4,-0.3333333432674408,Negative,137,23,True,True,6.686979,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,5,-wny0OAz3g8$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/5.mp4,1.0,Positive,125,20,True,True,6.911979,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,7,-wny0OAz3g8$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/7.mp4,0.0,Neutral,157,29,True,True,8.067969,h264,1280,720,30.0,aac,44100,2
-wny0OAz3g8,9,-wny0OAz3g8$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/9.mp4,0.6666666865348816,Positive,118,20,True,True,6.213021,h264,1280,720,30.0,aac,44100,2
-571d8cVauQ,0,-571d8cVauQ$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,0.0,Neutral,72,12,True,True,5.066667,h264,486,360,30.0,aac,44100,2
-571d8cVauQ,5,-571d8cVauQ$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,0.3333333432674408,Positive,229,43,True,True,15.272982,h264,486,360,30.0,aac,44100,2
-I_e4mIh0yE,1,-I_e4mIh0yE$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/1.mp4,-0.6666666865348816,Negative,98,18,True,True,7.622005,h264,640,360,30.0,aac,44100,2
-I_e4mIh0yE,3,-I_e4mIh0yE$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/3.mp4,0.6666666865348816,Positive,132,22,True,True,9.163021,h264,640,360,30.0,aac,44100,2
-UacrmKiTn4,10,-UacrmKiTn4$_$10,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/10.mp4,-0.6666666865348816,Negative,95,18,True,True,7.361979,h264,470,360,30.0,aac,44100,2
-UacrmKiTn4,4,-UacrmKiTn4$_$4,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/4.mp4,-1.3333333730697632,Negative,72,14,True,True,4.741016,h264,470,360,30.0,aac,44100,2
-hnBHBN8p5A,7,-hnBHBN8p5A$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/7.mp4,0.6666666865348816,Positive,78,13,True,True,7.372,h264,1280,720,23.976,aac,44100,2
-hnBHBN8p5A,6,-hnBHBN8p5A$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/6.mp4,1.0,Positive,84,13,True,True,6.401,h264,1280,720,23.976,aac,44100,2
-qDkUB0GgYY,6,-qDkUB0GgYY$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-qDkUB0GgYY/6.mp4,1.3333333730697632,Positive,75,16,True,True,4.677995,h264,360,360,30.0,aac,44100,1
-uywlfIYOS8,4,-uywlfIYOS8$_$4,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-uywlfIYOS8/4.mp4,0.3333333432674408,Positive,93,18,True,True,6.044987,h264,480,270,30.0,aac,44100,2
-6rXp3zJ3kc,8,-6rXp3zJ3kc$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,-1.0,Negative,170,34,True,True,12.805013,h264,480,270,30.0,aac,44100,2
-9y-fZ3swSY,0,-9y-fZ3swSY$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,1.0,Positive,102,22,True,True,6.833333,h264,1280,720,30.0,aac,44100,2
-9y-fZ3swSY,4,-9y-fZ3swSY$_$4,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,0.0,Neutral,33,9,True,True,2.821029,h264,1280,720,30.0,aac,44100,2
-9y-fZ3swSY,8,-9y-fZ3swSY$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,1.6666666269302368,Positive,55,12,True,True,4.988997,h264,1280,720,30.0,aac,44100,2
-AUZQgSxyPQ,2,-AUZQgSxyPQ$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,0.6666666865348816,Positive,262,41,True,True,22.511003,h264,1280,720,30.0,aac,44100,2
-HeZS2-Prhc,2,-HeZS2-Prhc$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,0.6666666865348816,Positive,77,16,True,True,8.261979,h264,360,360,30.0,aac,44100,1
-MeTTeMJBNc,0,-MeTTeMJBNc$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/0.mp4,0.3333333432674408,Positive,117,21,True,True,9.3,h264,470,360,30.0,aac,44100,2
-MeTTeMJBNc,13,-MeTTeMJBNc$_$13,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/13.mp4,0.3333333432674408,Positive,70,14,True,True,5.430013,h264,470,360,30.0,aac,44100,2
-MeTTeMJBNc,7,-MeTTeMJBNc$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,1.3333333730697632,Positive,160,31,True,True,10.516992,h264,470,360,30.0,aac,44100,2
-RfYyzHpjk4,11,-RfYyzHpjk4$_$11,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/11.mp4,2.0,Positive,89,17,True,True,5.238997,h264,1280,720,30.0,aac,44100,2
-RfYyzHpjk4,8,-RfYyzHpjk4$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/8.mp4,0.3333333432674408,Positive,81,17,True,True,4.588997,h264,1280,720,30.0,aac,44100,2
-RfYyzHpjk4,2,-RfYyzHpjk4$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/2.mp4,0.3333333432674408,Positive,119,25,True,True,5.516016,h264,1280,720,30.0,aac,44100,2
-UUCSKoHeMA,0,-UUCSKoHeMA$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UUCSKoHeMA/0.mp4,0.0,Neutral,93,18,True,True,7.8,h264,470,360,30.0,aac,44100,2
-ri04Z7vwnc,0,-ri04Z7vwnc$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/0.mp4,0.0,Neutral,43,8,True,True,2.807,h264,1280,720,23.976,aac,44100,2
-ri04Z7vwnc,2,-ri04Z7vwnc$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/2.mp4,-0.3333333432674408,Negative,99,16,True,True,6.027,h264,1280,720,23.976,aac,44100,2
-ri04Z7vwnc,5,-ri04Z7vwnc$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/5.mp4,0.3333333432674408,Positive,47,9,True,True,3.545,h264,1280,720,23.976,aac,44100,2
-s9qJ7ATP7w,1,-s9qJ7ATP7w$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/1.mp4,0.6666666865348816,Positive,50,11,True,True,4.791992,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,0,-s9qJ7ATP7w$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/0.mp4,-0.3333333432674408,Negative,112,24,True,True,6.8,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,5,-s9qJ7ATP7w$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/5.mp4,-2.0,Negative,88,19,True,True,8.561003,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,4,-s9qJ7ATP7w$_$4,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/4.mp4,0.0,Neutral,52,9,True,True,4.427018,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,7,-s9qJ7ATP7w$_$7,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/7.mp4,1.0,Positive,136,28,True,True,6.966016,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,6,-s9qJ7ATP7w$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/6.mp4,0.0,Neutral,21,5,True,True,2.475,h264,1280,720,30.0,aac,44100,2
-s9qJ7ATP7w,8,-s9qJ7ATP7w$_$8,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/8.mp4,1.3333333730697632,Positive,60,13,True,True,3.294987,h264,1280,720,30.0,aac,44100,2
-yRb-Jum7EQ,1,-yRb-Jum7EQ$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/1.mp4,0.0,Neutral,326,49,True,True,29.288021,h264,1280,720,30.0,aac,44100,2
-yRb-Jum7EQ,5,-yRb-Jum7EQ$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/5.mp4,-0.6666666865348816,Negative,156,25,True,True,13.16901,h264,1280,720,30.0,aac,44100,2
-yRb-Jum7EQ,6,-yRb-Jum7EQ$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/6.mp4,0.0,Neutral,116,19,True,True,11.241995,h264,1280,720,30.0,aac,44100,2
