plot,crop_id,crop,ctype,area,season,plot_type,yield_jin,cost_yuan,price_mid,production_jin
F1,32,空心菜,蔬菜,0.3,第一季,智慧大棚,12000.0,5000.0,4.5,3600.0
F1,33,黄心菜,蔬菜,0.3,第一季,智慧大棚,6000.0,2500.0,4.5,1800.0
F1,24,青椒,蔬菜,0.3,第二季,智慧大棚,2700.0,2200.0,6.8,810.0
F1,21,西红柿,蔬菜,0.3,第二季,智慧大棚,2700.0,2640.0,7.5,810.0
F2,25,菜花,蔬菜,0.3,第一季,智慧大棚,4000.0,3000.0,5.5,1200.0
F2,26,包菜,蔬菜,0.3,第一季,智慧大棚,4500.0,3500.0,6.5,1350.0
F2,22,茄子,蔬菜,0.3,第二季,智慧大棚,7200.0,2640.0,6.6,2160.0
F2,29,黄瓜,蔬菜,0.3,第二季,智慧大棚,13500.0,3850.0,8.4,4050.0
F3,17,豇豆,蔬菜（豆类）,0.6,第一季,智慧大棚,3600.0,2400.0,8.0,2160.0
F3,28,小青菜,蔬菜,0.3,第二季,智慧大棚,3600.0,2200.0,6.9,1080.0
F3,30,生菜,蔬菜,0.3,第二季,智慧大棚,4500.0,2200.0,6.300000000000001,1350.0
F4,19,芸豆,蔬菜（豆类）,0.6,第一季,智慧大棚,3600.0,2400.0,6.5,2160.0
F4,34,芹菜,蔬菜,0.3,第二季,智慧大棚,6000.0,1200.0,4.8,1800.0
F4,23,菠菜,蔬菜,0.3,第二季,智慧大棚,3000.0,3000.0,6.9,900.0
