crop_id,crop,plot_type,season,yield_jin,cost_yuan,price_low,price_high,price_mid,plot_types
13,红薯,山坡地,单季,2000.0,2000.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
14,莜麦,山坡地,单季,380.0,400.0,5.0,6.0,5.5,"平旱地,梯田,山坡地"
15,大麦,山坡地,单季,475.0,350.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
16,水稻,水浇地,单季,500.0,680.0,6.0,8.0,7.0,水浇地
17,豇豆,水浇地,第一季,3000.0,2000.0,7.0,9.0,8.0,"水浇地,普通大棚,智慧大棚"
18,刀豆,水浇地,第一季,2000.0,1000.0,5.5,8.0,6.75,
19,芸豆,水浇地,第一季,3000.0,2000.0,5.0,8.0,6.5,
20,土豆,水浇地,第一季,2000.0,2000.0,3.0,4.5,3.75,"水浇地,普通大棚,智慧大棚"
21,西红柿,水浇地,第一季,2400.0,2000.0,5.0,7.5,6.25,"水浇地,普通大棚,智慧大棚"
22,茄子,水浇地,第一季,6400.0,2000.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
23,菠菜 ,水浇地,第一季,2700.0,2300.0,4.8,6.7,5.75,"水浇地,普通大棚,智慧大棚"
24,青椒,水浇地,第一季,2400.0,1600.0,4.0,6.5,5.25,"水浇地,普通大棚,智慧大棚"
25,菜花,水浇地,第一季,3300.0,2400.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
26,包菜,水浇地,第一季,3700.0,2900.0,5.5,7.5,6.5,"水浇地,普通大棚,智慧大棚"
27,油麦菜,水浇地,第一季,4100.0,1600.0,4.0,6.0,5.0,"水浇地,普通大棚,智慧大棚"
28,小青菜,水浇地,第一季,3200.0,1600.0,5.0,6.5,5.75,"水浇地,普通大棚,智慧大棚"
29,黄瓜,水浇地,第一季,12000.0,2900.0,6.0,8.0,7.0,"水浇地,普通大棚,智慧大棚"
30,生菜 ,水浇地,第一季,4100.0,1600.0,4.5,6.0,5.25,"水浇地,普通大棚,智慧大棚"
31,辣椒,水浇地,第一季,1600.0,1000.0,6.0,8.5,7.25,"水浇地,普通大棚,智慧大棚"
32,空心菜,水浇地,第一季,10000.0,4100.0,3.0,6.0,4.5,"水浇地,普通大棚,智慧大棚"
33,黄心菜,水浇地,第一季,5000.0,2000.0,4.0,5.0,4.5,"水浇地,普通大棚,智慧大棚"
34,芹菜,水浇地,第一季,5500.0,900.0,3.2,4.8,4.0,"水浇地,普通大棚,智慧大棚"
17,豇豆,普通大棚,第一季,3600.0,2400.0,7.0,9.0,8.0,"水浇地,普通大棚,智慧大棚"
18,刀豆,普通大棚,第一季,2400.0,1200.0,5.5,8.0,6.75,
19,芸豆,普通大棚,第一季,3600.0,2400.0,5.0,8.0,6.5,
20,土豆,普通大棚,第一季,2400.0,2400.0,3.0,4.5,3.75,"水浇地,普通大棚,智慧大棚"
21,西红柿,普通大棚,第一季,3000.0,2400.0,5.0,7.5,6.25,"水浇地,普通大棚,智慧大棚"
22,茄子,普通大棚,第一季,8000.0,2400.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
23,菠菜 ,普通大棚,第一季,3300.0,2700.0,4.8,6.7,5.75,"水浇地,普通大棚,智慧大棚"
24,青椒,普通大棚,第一季,3000.0,2000.0,4.0,6.5,5.25,"水浇地,普通大棚,智慧大棚"
25,菜花,普通大棚,第一季,4000.0,3000.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
26,包菜,普通大棚,第一季,4500.0,3500.0,5.5,7.5,6.5,"水浇地,普通大棚,智慧大棚"
27,油麦菜,普通大棚,第一季,5000.0,2000.0,4.0,6.0,5.0,"水浇地,普通大棚,智慧大棚"
28,小青菜,普通大棚,第一季,4000.0,2000.0,5.0,6.5,5.75,"水浇地,普通大棚,智慧大棚"
29,黄瓜,普通大棚,第一季,15000.0,3500.0,6.0,8.0,7.0,"水浇地,普通大棚,智慧大棚"
30,生菜 ,普通大棚,第一季,5000.0,2000.0,4.5,6.0,5.25,"水浇地,普通大棚,智慧大棚"
31,辣椒,普通大棚,第一季,2000.0,1200.0,6.0,8.5,7.25,"水浇地,普通大棚,智慧大棚"
32,空心菜,普通大棚,第一季,12000.0,5000.0,3.0,6.0,4.5,"水浇地,普通大棚,智慧大棚"
33,黄心菜,普通大棚,第一季,6000.0,2500.0,4.0,5.0,4.5,"水浇地,普通大棚,智慧大棚"
34,芹菜,普通大棚,第一季,6600.0,1100.0,3.2,4.8,4.0,"水浇地,普通大棚,智慧大棚"
35,大白菜,水浇地,第二季,5000.0,2000.0,2.0,3.0,2.5,水浇地
36,白萝卜,水浇地,第二季,4000.0,500.0,2.0,3.0,2.5,水浇地
37,红萝卜,水浇地,第二季,3000.0,500.0,2.5,4.0,3.25,水浇地
38,榆黄菇,普通大棚,第二季,5000.0,3000.0,50.0,65.0,57.5,普通大棚
39,香菇,普通大棚,第二季,4000.0,2000.0,18.0,20.0,19.0,普通大棚
40,白灵菇,普通大棚,第二季,10000.0,10000.0,14.0,18.0,16.0,普通大棚
41,羊肚菌,普通大棚,第二季,1000.0,10000.0,80.0,120.0,100.0,普通大棚
17,豇豆,智慧大棚,第二季,3200.0,2640.0,8.4,10.8,9.600000000000001,"水浇地,普通大棚,智慧大棚"
18,刀豆,智慧大棚,第二季,2200.0,1320.0,6.6,9.6,8.1,
19,芸豆,智慧大棚,第二季,3200.0,2640.0,6.0,9.6,7.8,
20,土豆,智慧大棚,第二季,2200.0,2640.0,3.6,5.4,4.5,"水浇地,普通大棚,智慧大棚"
21,西红柿,智慧大棚,第二季,2700.0,2640.0,6.0,9.0,7.5,"水浇地,普通大棚,智慧大棚"
22,茄子,智慧大棚,第二季,7200.0,2640.0,6.0,7.2,6.6,"水浇地,普通大棚,智慧大棚"
23,菠菜 ,智慧大棚,第二季,3000.0,3000.0,5.8,8.0,6.9,"水浇地,普通大棚,智慧大棚"
24,青椒,智慧大棚,第二季,2700.0,2200.0,5.8,7.8,6.8,"水浇地,普通大棚,智慧大棚"
25,菜花,智慧大棚,第二季,3600.0,3300.0,6.0,7.2,6.6,"水浇地,普通大棚,智慧大棚"
26,包菜,智慧大棚,第二季,4100.0,3850.0,6.6,9.0,7.8,"水浇地,普通大棚,智慧大棚"
27,油麦菜,智慧大棚,第二季,4500.0,2200.0,4.8,7.2,6.0,"水浇地,普通大棚,智慧大棚"
28,小青菜,智慧大棚,第二季,3600.0,2200.0,6.0,7.8,6.9,"水浇地,普通大棚,智慧大棚"
29,黄瓜,智慧大棚,第二季,13500.0,3850.0,7.2,9.6,8.4,"水浇地,普通大棚,智慧大棚"
30,生菜 ,智慧大棚,第二季,4500.0,2200.0,5.4,7.2,6.300000000000001,"水浇地,普通大棚,智慧大棚"
31,辣椒,智慧大棚,第二季,1800.0,1300.0,7.2,10.2,8.7,"水浇地,普通大棚,智慧大棚"
32,空心菜,智慧大棚,第二季,11000.0,5500.0,3.6,7.2,5.4,"水浇地,普通大棚,智慧大棚"
33,黄心菜,智慧大棚,第二季,5400.0,2750.0,4.8,6.0,5.4,"水浇地,普通大棚,智慧大棚"
34,芹菜,智慧大棚,第二季,6000.0,1200.0,3.8,5.8,4.8,"水浇地,普通大棚,智慧大棚"
17,豇豆,智慧大棚,第一季,3600.0,2400.0,7.0,9.0,8.0,"水浇地,普通大棚,智慧大棚"
18,刀豆,智慧大棚,第一季,2400.0,1200.0,5.5,8.0,6.75,
19,芸豆,智慧大棚,第一季,3600.0,2400.0,5.0,8.0,6.5,
20,土豆,智慧大棚,第一季,2400.0,2400.0,3.0,4.5,3.75,"水浇地,普通大棚,智慧大棚"
21,西红柿,智慧大棚,第一季,3000.0,2400.0,5.0,7.5,6.25,"水浇地,普通大棚,智慧大棚"
22,茄子,智慧大棚,第一季,8000.0,2400.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
23,菠菜 ,智慧大棚,第一季,3300.0,2700.0,4.8,6.7,5.75,"水浇地,普通大棚,智慧大棚"
24,青椒,智慧大棚,第一季,3000.0,2000.0,4.0,6.5,5.25,"水浇地,普通大棚,智慧大棚"
25,菜花,智慧大棚,第一季,4000.0,3000.0,5.0,6.0,5.5,"水浇地,普通大棚,智慧大棚"
26,包菜,智慧大棚,第一季,4500.0,3500.0,5.5,7.5,6.5,"水浇地,普通大棚,智慧大棚"
27,油麦菜,智慧大棚,第一季,5000.0,2000.0,4.0,6.0,5.0,"水浇地,普通大棚,智慧大棚"
28,小青菜,智慧大棚,第一季,4000.0,2000.0,5.0,6.5,5.75,"水浇地,普通大棚,智慧大棚"
29,黄瓜,智慧大棚,第一季,15000.0,3500.0,6.0,8.0,7.0,"水浇地,普通大棚,智慧大棚"
30,生菜 ,智慧大棚,第一季,5000.0,2000.0,4.5,6.0,5.25,"水浇地,普通大棚,智慧大棚"
31,辣椒,智慧大棚,第一季,2000.0,1200.0,6.0,8.5,7.25,"水浇地,普通大棚,智慧大棚"
32,空心菜,智慧大棚,第一季,12000.0,5000.0,3.0,6.0,4.5,"水浇地,普通大棚,智慧大棚"
33,黄心菜,智慧大棚,第一季,6000.0,2500.0,4.0,5.0,4.5,"水浇地,普通大棚,智慧大棚"
34,芹菜,智慧大棚,第一季,6600.0,1100.0,3.2,4.8,4.0,"水浇地,普通大棚,智慧大棚"
