case,tensors,ops_total,ops_copy,ops_core,dag_edges,cycles_m,cycles_v,cycles_total,critical_path,parallel_width,level_count,ddr_bytes,l1_bytes,ub_bytes,max_l1_tensor,max_ub_tensor,source_ops,sink_ops,max_fanout
case_054,16484,16133,382,15751,23976,574216,440672,1014888,20291,50.017,354,1606276,6709696,6003978,8192,3072,201,31,9
case_055,1641,1468,232,1236,1288,61796,69049,130845,6962,18.794,28,625810,773632,2105576,13824,8192,200,59,8
case_056,8157,7936,258,7678,11483,131016,245953,376969,13737,27.442,300,221600,1635488,3803248,2048,4096,89,37,9
case_057,1180,1053,188,865,904,14062,47565,61627,8189,7.526,101,342460,153120,1437578,4608,4096,126,61,6
case_058,18942,17886,1311,16575,16320,4358970,310080,4669050,746,6258.78,7,7667712,74514432,0,8192,0,8415,255,1
case_059,3520,3168,416,2752,2688,737792,102144,839936,2120,396.196,22,1343488,12353536,0,4096,0,1408,64,1
case_060,6752,6086,805,5281,5384,720232,273539,993771,4252,233.718,41,2099006,12256384,6751620,8192,8192,1977,139,10
case_061,1709,1450,335,1115,1122,71456,27572,99028,11506,8.607,45,544188,1203712,458030,8192,2048,232,76,6
case_062,28361,23999,4363,19636,19635,2618400,392688,3011088,3120,965.092,28,13401600,26806272,16754688,4608,1536,2181,1,1
case_063,10629,8995,1635,7360,7359,981600,147168,1128768,3048,370.331,26,5021184,10045440,6279168,4608,1536,817,1,1
case_064,1034,972,66,906,1308,7308,15744,23052,3528,6.534,123,37414,114144,174150,1024,1024,22,4,4
case_065,1067,914,210,704,741,28260,29518,57778,1265,45.674,28,316202,499088,680490,4608,4096,98,57,5
case_066,6362,6181,219,5962,8887,269694,170683,440377,32240,13.659,154,1107034,2489472,2928282,36864,12288,87,38,9
case_067,9117,8996,192,8804,10437,58915232,2360608,61275840,863040,71.0,124,6048128,61157760,0,294912,0,71,71,2
case_068,6260,5853,502,5351,7491,249101,154696,403797,48319,8.357,264,2771250,3641416,3523846,36864,8192,220,95,9
case_069,1110,1074,42,1032,1548,16674,15288,31962,2298,13.909,46,126054,351904,498822,9216,4608,12,6,6
case_070,1630,1437,246,1191,1237,91832,47214,139046,4054,34.298,35,419964,980224,1128010,24576,6144,213,53,14
case_071,816,781,40,741,1100,12534,10954,23488,2298,10.221,46,121446,285088,362886,9216,4608,11,5,6
case_072,32624,31387,1721,29666,32401,22928094,1708199,24636293,31968,770.655,251,11103184,189414824,2020648,165888,2304,11082,484,9
case_073,5053,4964,128,4836,5733,8160672,428064,8588736,220224,39.0,124,4041088,11608960,0,294912,0,39,39,2
case_074,4833,4269,660,3609,3597,1579424,198420,1777844,3091,575.168,39,3776728,15732736,3049134,8192,8192,1474,96,11
case_075,7953,7684,274,7410,11135,1107520,644660,1752180,182300,9.612,460,1837190,4830336,6225286,16384,8192,65,5,6
case_076,36815,35076,2548,32528,31730,6061644,947248,7008892,2774,2526.637,13,4270674,95491072,239366,16384,4096,15270,809,2
case_077,5208,4872,386,4486,6316,415406,136672,552078,15619,35.347,135,2141360,5176224,2851208,20736,4608,213,50,9
case_078,1156,1094,70,1024,1208,2037888,103296,2141184,246816,8.675,124,2345088,7186560,0,165888,0,8,8,2
case_079,21252,20130,1410,18720,18432,29424384,3760128,33184512,5952,5575.355,8,9351168,235843584,0,12288,0,9504,288,1
case_080,1674,1395,297,1098,1080,289044,20520,309564,746,414.965,7,1978368,6402048,0,8192,0,558,18,1
case_081,5185,4505,1020,3485,3740,0,151725,151725,407,372.789,12,1741140,0,4529990,0,2048,680,340,5
case_082,4298,4209,96,4113,6258,567936,359766,927702,54690,16.963,138,592006,2200704,3389382,16384,8192,25,7,7
case_083,4037,3956,112,3844,4557,810836,71300,882136,28456,31.0,124,1438304,13469280,0,73728,0,31,31,2
case_084,18309,14001,5385,8616,9693,1266552,1240704,2507256,2328,1077.0,8,13236330,18196992,20060202,4608,4608,1077,1077,2
case_085,20240,19993,256,19737,30348,2565216,1724706,4289922,165564,25.911,450,1689734,9342080,15968454,16384,8192,63,9,9
case_086,5462,5372,98,5274,8064,79182,78060,157242,6894,22.809,138,338022,1505568,2488326,9216,4608,26,8,8
case_087,29569,28666,1110,27556,38493,3593280,882784,4476064,82063,54.544,382,5919098,37675856,10830222,36864,9216,3066,207,9
case_088,3811,3577,268,3309,4731,173608,99744,273352,32229,8.482,176,1829798,2498880,2397892,36864,6144,70,34,9
case_089,5348,5254,134,5120,6040,589120,109760,698880,16272,42.95,124,566400,8635520,0,18432,0,40,40,2
case_090,1811,1744,80,1664,1963,840528,59280,899808,63936,14.074,124,2228352,4195200,0,165888,0,13,13,2
case_091,34927,33497,1943,31554,31173,8981360,931710,9913070,56912,174.182,124,6577656,97896960,248092,73728,2048,14803,513,4
case_092,18134,17942,334,17608,20874,3714152,326600,4040752,28456,142.0,124,3256928,58366560,0,73728,0,142,142,2
case_093,1181,901,349,552,483,73968,12144,86112,400,215.28,4,714752,1703936,0,2048,0,276,69,1
case_094,895,791,144,647,680,70944,36616,107560,2484,43.301,36,526692,1086240,1442528,18432,9216,108,40,2
case_095,7854,6006,2310,3696,4158,1069992,1014552,2084544,4512,462.0,8,11355036,19869696,34240668,18432,18432,462,462,2
case_096,1476,1362,164,1198,1276,40144,53130,93274,9417,9.905,119,219558,425280,1986312,18432,4096,93,50,14
case_097,8320,7488,896,6592,6528,10303488,1331712,11635200,23904,486.747,52,5046272,85262336,0,12288,0,3328,64,1
case_098,1700,1553,188,1365,1514,17296,162701,179997,6783,26.536,51,697994,627712,6963306,16384,16384,98,41,13
case_099,7610,7054,758,6296,6106,1595484,144720,1740204,2826,615.783,29,2534036,14529024,187728,24576,3072,2810,202,2
case_100,1825,1654,260,1394,1505,62556,102007,164563,4830,34.071,52,454598,637184,3696974,18432,16384,187,89,14
